Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
4/8/2016,10:55:28,514,7627,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:28,717,7628,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:28,904,7629,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:29,107,7630,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:29,310,7631,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:29,513,7632,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:29,715,7633,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:29,903,7634,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:30,105,7635,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:30,308,7636,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:30,511,7637,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:30,714,7638,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:30,917,7639,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:31,104,7640,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:31,307,7641,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:31,509,7642,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:31,712,7643,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:31,915,7644,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:32,118,7645,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:32,305,7646,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:32,508,7647,81,78,82,84,83,85,82,82,84,83,84,83
4/8/2016,10:55:32,711,7648,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:55:32,913,7649,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:33,116,7650,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:33,303,7651,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:33,506,7652,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:33,709,7653,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:33,912,7654,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:34,115,7655,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:34,317,7656,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:34,505,7657,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:34,707,7658,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:34,910,7659,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:35,113,7660,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:35,316,7661,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:35,503,7662,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:35,706,7663,81,78,82,84,84,85,82,82,84,83,84,87
4/8/2016,10:55:35,909,7664,81,78,82,84,84,85,82,82,84,83,84,128
4/8/2016,10:55:36,111,7665,81,78,82,84,84,85,82,82,84,83,84,131
4/8/2016,10:55:36,314,7666,81,78,82,84,84,85,82,82,84,83,84,128
4/8/2016,10:55:36,517,7667,81,78,82,84,84,85,82,82,84,83,84,143
4/8/2016,10:55:36,704,7668,81,78,82,84,84,85,82,82,84,83,84,102
4/8/2016,10:55:36,907,7669,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:37,110,7670,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:37,313,7671,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:37,515,7672,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:37,718,7673,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:37,905,7674,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:38,108,7675,81,78,82,84,84,85,82,82,85,83,84,118
4/8/2016,10:55:38,311,7676,81,78,82,84,84,85,82,82,84,83,84,122
4/8/2016,10:55:38,514,7677,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:38,717,7678,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:38,919,7679,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:39,107,7680,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:39,325,7681,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:39,512,7682,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:39,715,7683,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:39,918,7684,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:40,105,7685,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:40,308,7686,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:40,511,7687,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:40,713,7688,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:40,916,7689,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:41,103,7690,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:41,306,7691,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:41,509,7692,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:41,712,7693,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:41,915,7694,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:42,117,7695,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:42,305,7696,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:42,507,7697,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:42,710,7698,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:42,913,7699,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:43,116,7700,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:43,303,7701,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:55:43,506,7702,81,78,82,84,84,85,82,82,84,83,84,114
4/8/2016,10:55:43,709,7703,81,78,82,84,84,85,82,82,84,83,84,155
4/8/2016,10:55:43,911,7704,81,78,82,84,84,85,82,82,84,83,84,144
4/8/2016,10:55:44,114,7705,81,78,82,84,84,85,82,82,84,83,84,116
4/8/2016,10:55:44,317,7706,81,78,82,84,84,85,82,82,84,83,84,87
4/8/2016,10:55:44,504,7707,81,78,82,84,84,85,82,82,84,83,84,112
4/8/2016,10:55:44,707,7708,81,78,82,84,84,85,82,82,84,83,84,125
4/8/2016,10:55:44,910,7709,81,78,82,84,84,85,82,82,84,83,84,126
4/8/2016,10:55:45,113,7710,81,78,82,84,84,85,82,82,84,83,84,102
4/8/2016,10:55:45,315,7711,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:45,518,7712,81,78,82,84,84,85,82,82,84,83,84,116
4/8/2016,10:55:45,705,7713,81,78,82,84,84,85,82,82,84,83,84,122
4/8/2016,10:55:45,908,7714,81,78,82,84,84,85,82,82,84,83,84,116
4/8/2016,10:55:46,111,7715,81,78,82,84,84,85,82,82,84,83,84,136
4/8/2016,10:55:46,314,7716,81,78,82,84,84,85,82,82,84,83,84,109
4/8/2016,10:55:46,517,7717,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:46,704,7718,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:46,907,7719,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:47,109,7720,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:47,312,7721,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:47,562,7722,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:55:47,718,7723,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:47,905,7724,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:55:48,108,7725,81,78,82,84,84,85,82,82,84,83,84,82
